,make_model,cumsum
Mercedes-Benz 1222,1.0,99.04818560380726
Infiniti FX50,1.0,99.06008328375967
Mercedes-Benz SLK350,1.0,99.07198096371208
Freightliner Sportchassis,1.0,99.08387864366448
Aston Martin V8 Volante,1.0,99.09577632361689
Aston Martin V12 Vantage,1.0,99.1076740035693
Volvo 850,1.0,99.11957168352171
Ferrari 550,1.0,99.13146936347412
WaterCar Panther,1.0,99.14336704342654
Land Rover LR3,1.0,99.15526472337895
Dodge Caravan,1.0,99.16716240333136
Honda Civic Type R,1.0,99.17906008328376
Ford Freda,1.0,99.19095776323617
McLaren 720S,1.0,99.20285544318858
Lamborghini Murcielago,1.0,99.21475312314098
AC 3000ME,1.0,99.22665080309339
Hyundai Genesis,1.0,99.2385484830458
Toyota Previa,1.0,99.25044616299822
Land Rover Series III,1.0,99.26234384295063
Mitsubishi Fuso,1.0,99.27424152290303
Infiniti M56,1.0,99.28613920285544
Land Rover Freelander,1.0,99.29803688280785
Ferrari 430 Scuderia,1.0,99.30993456276026
Mercedes-Benz C250,1.0,99.32183224271267
Nissan Terrano,1.0,99.33372992266509
Isuzu Fargo,1.0,99.3456276026175
Hyundai Santa Cruz,1.0,99.35752528256991
Nissan Z,1.0,99.36942296252231
Volvo 760,1.0,99.38132064247472
Genesis GV60,1.0,99.39321832242712
Mercedes-Benz GLE450,1.0,99.40511600237953
Nissan Stagea,1.0,99.41701368233194
Toyota Matrix,1.0,99.42891136228435
Cadillac DTS,1.0,99.44080904223676
Mercedes-Benz 400SEL,1.0,99.45270672218918
Nissan Patrol,1.0,99.46460440214159
BMW L6,1.0,99.47650208209399
Hyundai Elantra,1.0,99.4883997620464
Mazda Mazdaspeed 6,1.0,99.50029744199881
Saab 9000,1.0,99.51219512195122
Toyota Sienna,1.0,99.52409280190363
Jaguar XFR,1.0,99.53599048185605
Toyota HiMedic,1.0,99.54788816180844
Peugeot 306,1.0,99.55978584176086
Audi e-Tron,1.0,99.57168352171325
Subaru Crosstrek,1.0,99.58358120166567
Mercedes-Benz 300TE,1.0,99.59547888161808
Isuzu Space Cab,1.0,99.60737656157049
Volkswagen Type 2,1.0,99.6192742415229
Mercedes-Benz 240D,1.0,99.63117192147531
Toyota Chaser,1.0,99.64306960142773
Dodge Neon SRT-4,1.0,99.65496728138014
Ferrari FF,1.0,99.66686496133254
UAZ 469,1.0,99.67876264128495
Mercedes-Benz S550e,1.0,99.69066032123736
Lexus LS 600hL,1.0,99.70255800118977
Lexus IS 250,1.0,99.71445568114218
Subaru Domingo,1.0,99.7263533610946
Lancia Delta Integrale,1.0,99.738251041047
Dodge Intrepid,1.0,99.7501487209994
GMC TopKick,1.0,99.7620464009518
Mercedes-Benz SLK32 AMG,1.0,99.77394408090422
Mercedes-Benz ML550,1.0,99.78584176085663
GMC Vandura,1.0,99.79773944080904
Mercedes-Benz ML350,1.0,99.80963712076145
Toyota Coaster,1.0,99.82153480071386
Mercedes-Benz G300 TD,1.0,99.83343248066627
Mercedes-Benz R320 CDI,1.0,99.84533016061869
Chrysler Conquest,1.0,99.85722784057108
Chrysler Prowler,1.0,99.8691255205235
GMC Envoy,1.0,99.88102320047591
BMW M760i,1.0,99.89292088042832
BMW 640i,1.0,99.90481856038073
Oldsmobile Calais Supreme,1.0,99.91671624033313
Mercedes-Benz 190D,1.0,99.92861392028554
Maybach 57,1.0,99.94051160023795
BMW X7,1.0,99.95240928019035
Mitsubishi Minicab,1.0,99.96430696014276
Mercedes-Benz 320TE,1.0,99.97620464009518
Nissan Maxima,1.0,99.98810232004759
Pontiac Aztek,1.0,100.0
