,id,sentiment_score
0,100_1,3.5789473684210527
1,100_10,2.7083333333333335
2,100_11,3.238095238095238
3,100_12,3.25
4,100_13,3.4
5,100_14,3.951219512195122
6,100_15,3.759259259259259
7,100_16,3.3703703703703702
8,100_17,3.5
9,100_18,3.0476190476190474
10,100_19,3.2666666666666666
11,100_2,3.0625
12,100_20,4.2105263157894735
13,100_21,3.466666666666667
14,100_22,3.5
15,100_23,3.5789473684210527
16,100_24,2.8059701492537314
17,100_25,3.8333333333333335
18,100_26,3.5443037974683542
19,100_27,2.9761904761904763
20,100_28,3.4318181818181817
21,100_29,3.25
22,100_3,2.980392156862745
23,100_30,3.357142857142857
24,100_31,2.8908045977011496
25,100_32,3.4285714285714284
26,100_33,2.975
27,100_34,3.475
28,100_35,3.35
29,100_36,3.810810810810811
30,100_37,3.3333333333333335
31,100_38,3.4545454545454546
32,100_39,3.0
33,100_4,3.189189189189189
34,100_40,2.730769230769231
35,100_41,3.2873563218390807
36,100_42,2.9473684210526314
37,100_43,4.4
38,100_44,3.622950819672131
39,100_45,3.246153846153846
40,100_46,4.048780487804878
41,100_47,3.45
42,100_48,3.4705882352941178
43,100_49,4.7
44,100_5,2.9047619047619047
45,100_50,3.5
46,100_6,3.0
47,100_7,4.125
48,100_8,3.3636363636363638
49,100_9,2.8043478260869565
50,101_1,3.261904761904762
51,101_10,3.314814814814815
52,101_11,3.475
53,101_12,3.2051282051282053
54,101_13,3.6666666666666665
55,101_14,2.7777777777777777
56,101_15,2.95
57,101_16,3.0
58,101_17,3.5454545454545454
59,101_18,3.5789473684210527
60,101_19,3.2413793103448274
61,101_2,3.6551724137931036
62,101_20,3.725
63,101_21,3.0
64,101_22,3.341463414634146
65,101_23,3.3452380952380953
66,101_24,3.6153846153846154
67,101_25,4.1875
68,101_26,3.2708333333333335
69,101_27,3.4705882352941178
70,101_28,2.8970588235294117
71,101_29,3.121212121212121
72,101_3,3.9705882352941178
73,101_30,3.8850574712643677
74,101_31,3.138888888888889
75,101_32,2.2857142857142856
76,101_33,3.533333333333333
77,101_34,3.0508474576271185
78,101_35,4.176470588235294
79,101_36,3.4545454545454546
80,101_37,3.576923076923077
81,101_38,3.730769230769231
82,101_39,3.1645569620253164
83,101_4,3.736842105263158
84,101_40,3.735294117647059
85,101_41,3.9
86,101_42,3.259259259259259
87,101_43,4.038461538461538
88,101_44,3.217391304347826
89,101_45,3.5454545454545454
90,101_46,2.7096774193548385
91,101_47,2.4615384615384617
92,101_48,3.28
93,101_49,3.1153846153846154
94,101_5,2.92
95,101_50,3.5365853658536586
96,101_6,3.4545454545454546
97,101_7,3.1555555555555554
98,101_8,3.5
99,101_9,3.5609756097560976
100,102_1,4.17948717948718
101,102_10,3.3636363636363638
102,102_11,2.795918367346939
103,102_12,3.875
104,102_13,3.3333333333333335
105,102_14,3.6153846153846154
106,102_15,3.769230769230769
107,102_16,3.696969696969697
108,102_17,4.340909090909091
109,102_18,3.3846153846153846
110,102_19,3.593220338983051
111,102_2,3.8333333333333335
112,102_20,4.104651162790698
113,102_21,4.0
114,102_22,3.272727272727273
115,102_23,4.0
116,102_24,4.291666666666667
117,102_25,2.9722222222222223
118,102_26,3.4827586206896552
119,102_27,3.568
120,102_28,4.066666666666666
121,102_29,3.945945945945946
122,102_3,3.5925925925925926
123,102_30,3.45
124,102_31,3.2884615384615383
125,102_32,4.04
126,102_33,3.426470588235294
127,102_36,2.9473684210526314
128,102_37,3.125
129,102_38,3.395348837209302
130,102_39,4.0
131,102_4,2.7
132,102_40,3.7948717948717947
133,102_41,3.4727272727272727
134,102_42,3.4
135,102_43,3.0
136,102_44,3.635294117647059
137,102_45,3.25
138,102_46,3.1481481481481484
139,102_47,3.56
140,102_48,4.37037037037037
141,102_49,3.392857142857143
142,102_5,3.7333333333333334
143,102_50,2.6363636363636362
144,102_6,3.3484848484848486
145,102_7,4.285714285714286
146,102_8,3.909090909090909
147,102_9,2.625
148,103_1,4.0
149,103_10,3.204301075268817
150,103_11,3.5135135135135136
151,103_12,3.6296296296296298
152,103_13,3.75
153,103_14,3.642857142857143
154,103_15,2.62
155,103_16,3.65625
156,103_17,3.4565217391304346
157,103_18,3.4516129032258065
158,103_19,3.2758620689655173
159,103_2,3.6875
160,103_20,3.423076923076923
161,103_21,3.537313432835821
162,103_22,3.3
163,103_23,3.206896551724138
164,103_25,3.5476190476190474
165,103_26,3.1315789473684212
166,103_27,2.7241379310344827
167,103_28,3.4027777777777777
168,103_29,4.285714285714286
169,103_3,3.2580645161290325
170,103_30,2.7916666666666665
171,103_31,3.08
172,103_32,3.09009009009009
173,103_33,3.935483870967742
174,103_34,3.5483870967741935
175,103_35,3.7373737373737375
176,103_36,3.696969696969697
177,103_37,4.0508474576271185
178,103_38,3.5789473684210527
179,103_39,3.82
180,103_4,4.027777777777778
181,103_40,2.380952380952381
182,103_41,3.5833333333333335
183,103_42,4.115384615384615
184,103_43,3.272727272727273
185,103_44,3.4
186,103_45,3.7222222222222223
187,103_46,4.785714285714286
188,103_47,3.8461538461538463
189,103_48,3.488888888888889
190,103_49,3.8372093023255816
191,103_5,2.575
192,103_50,3.0277777777777777
193,103_6,3.7291666666666665
194,103_7,2.935483870967742
195,103_8,3.5789473684210527
196,103_9,3.480225988700565
197,104_1,4.583333333333333
198,104_10,3.9805194805194803
199,104_11,3.0833333333333335
200,104_12,3.6455696202531644
201,104_13,2.838709677419355
202,104_14,3.84
203,104_15,3.05
204,104_16,4.166666666666667
205,104_17,3.3
206,104_18,3.1875
207,104_19,3.128205128205128
208,104_2,3.0185185185185186
209,104_20,3.9523809523809526
210,104_21,3.740740740740741
211,104_22,3.0625
212,104_23,3.4038461538461537
213,104_24,3.642857142857143
214,104_25,3.553672316384181
215,104_26,3.0930232558139537
216,104_27,3.6923076923076925
217,104_28,3.610169491525424
218,104_29,3.7524752475247523
219,104_3,3.3055555555555554
220,104_30,3.2426470588235294
221,104_31,2.76
222,104_32,3.411764705882353
223,104_33,3.6129032258064515
224,104_34,4.25
225,104_35,3.857142857142857
226,104_36,3.7586206896551726
227,104_37,3.19672131147541
228,104_38,3.6956521739130435
229,104_39,3.9166666666666665
230,104_4,3.6666666666666665
231,104_40,3.5576923076923075
232,104_41,3.38
233,104_42,3.1666666666666665
234,104_43,3.3333333333333335
235,104_44,3.1538461538461537
236,104_45,3.948717948717949
237,104_46,3.7666666666666666
238,104_47,3.4464285714285716
239,104_48,3.4285714285714284
240,104_49,3.784313725490196
241,104_5,5.0
242,104_50,4.0
243,104_6,3.15
244,104_7,3.9375
245,104_8,2.8620689655172415
246,104_9,3.074074074074074
247,105_1,3.0
248,105_10,3.625
249,105_11,3.44
250,105_12,3.1875
251,105_13,3.017543859649123
252,105_14,3.857142857142857
253,105_15,3.6153846153846154
254,105_16,3.5833333333333335
255,105_17,3.380952380952381
256,105_18,3.1551724137931036
257,105_19,3.4285714285714284
258,105_2,3.0
259,105_20,3.302325581395349
260,105_21,3.4242424242424243
261,105_22,3.2266666666666666
262,105_23,3.6779661016949152
263,105_24,3.4583333333333335
264,105_25,4.074074074074074
265,105_26,2.7142857142857144
266,105_27,3.526315789473684
267,105_28,4.041666666666667
268,105_29,2.9411764705882355
269,105_3,4.0
270,105_30,3.032258064516129
271,105_31,3.5714285714285716
272,105_32,4.346153846153846
273,105_33,2.9411764705882355
274,105_34,3.269230769230769
275,105_35,3.581818181818182
276,105_36,3.4583333333333335
277,105_37,3.5416666666666665
278,105_38,3.3943661971830985
279,105_39,3.370967741935484
280,105_4,3.619047619047619
281,105_40,3.7857142857142856
282,105_41,3.0606060606060606
283,105_42,3.466666666666667
284,105_43,3.473684210526316
285,105_44,3.272727272727273
286,105_45,3.3777777777777778
287,105_46,3.2098765432098766
288,105_47,2.5714285714285716
289,105_48,3.466666666666667
290,105_49,3.6779661016949152
291,105_5,4.0125
292,105_50,2.78125
293,105_6,3.125
294,105_7,3.658536585365854
295,105_8,3.152941176470588
296,105_9,3.0681818181818183
297,106_1,3.3333333333333335
298,106_10,3.260869565217391
299,106_11,3.5555555555555554
300,106_12,3.948051948051948
301,106_13,3.693877551020408
302,106_14,3.1956521739130435
303,106_15,3.5
304,106_16,4.0
305,106_17,3.0217391304347827
306,106_18,3.784090909090909
307,106_19,3.161290322580645
308,106_2,3.0285714285714285
309,106_20,3.880952380952381
310,106_21,3.926829268292683
311,106_22,3.6964285714285716
312,106_23,3.5396825396825395
313,106_24,3.1492537313432836
314,106_25,3.395348837209302
315,106_26,3.9583333333333335
316,106_27,3.6923076923076925
317,106_28,3.0277777777777777
318,106_29,3.3157894736842106
319,106_3,3.3793103448275863
320,106_30,3.297029702970297
321,106_31,3.888888888888889
322,106_32,3.55
323,106_33,3.769230769230769
324,106_34,3.2941176470588234
325,106_35,3.625
326,106_36,3.0
327,106_37,3.5
328,106_38,3.6133333333333333
329,106_39,3.3448275862068964
330,106_4,2.8095238095238093
331,106_40,2.676470588235294
332,106_41,2.769230769230769
333,106_42,3.227272727272727
334,106_43,3.2
335,106_44,5.0
336,106_45,2.8444444444444446
