,reserve,num_bids,num_com,milage,private_seller,num_highlights,num_equipment,num_modifications,num_known_flaws,num_service_history,num_other_items,num_owner_history,num_seller_notes,num_videos,sold,sentiment_score,year,make_model,title_status,end_bid,num_views,num_photos,make_BMW,model_M3,ecolor_beige,ecolor_black,ecolor_blue,ecolor_brown,ecolor_gray,ecolor_green,ecolor_orange,ecolor_purple,ecolor_red,ecolor_silver,ecolor_white,ecolor_yellow,icolor_beige,icolor_black,icolor_brown,icolor_gray,icolor_green,icolor_orange,icolor_red,icolor_silver,num_bidders
67,1,12,13,51600,1,5,11,0,7,3,4,1,0,2.0,1,-0.2857142857142857,2003,BMW M3,1,15500,7640,144,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8
68,1,23,175,36900,1,5,11,2,6,5,2,1,0,3.0,0,-0.0503597122302158,2012,BMW M3,1,22500,16324,111,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11
69,1,12,26,16500,1,4,12,1,3,2,5,1,0,1.0,1,0.5217391304347826,2018,BMW M3,1,64500,14267,103,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
70,0,44,74,123600,1,5,11,1,9,8,4,1,0,4.0,1,0.1929824561403508,2003,BMW M3,1,17400,13515,96,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13
71,1,34,59,113900,1,6,10,11,8,3,7,1,0,1.0,1,0.4042553191489361,2003,BMW M3,1,24000,8520,81,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12
72,1,31,48,67700,1,6,11,13,7,7,3,1,0,3.0,1,0.3255813953488372,2009,BMW M3,1,33256,12429,118,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15
73,1,34,77,66500,1,6,8,7,4,4,5,1,2,0.0,1,0.4202898550724637,2015,BMW M3,1,39000,13952,185,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12
74,1,13,30,65200,0,6,10,18,7,2,3,1,0,1.0,1,0.6363636363636364,2003,BMW M3,1,17750,7597,102,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
75,1,30,45,97700,1,4,9,4,7,2,5,1,0,3.0,0,0.3333333333333333,2002,BMW M3,1,14300,7737,145,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
76,1,19,121,179000,1,6,6,10,3,2,3,1,3,2.0,1,0.3636363636363636,1998,BMW M3,1,22500,14408,85,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7
77,0,47,41,67600,1,5,16,0,4,6,4,1,1,6.0,1,0.5333333333333333,2011,BMW M3,1,30000,9630,76,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15
78,0,46,8,170400,1,6,8,10,11,5,4,1,0,2.0,1,0.0,2002,BMW M3,1,9333,12704,140,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
79,1,34,181,68600,1,6,5,4,4,3,9,1,0,3.0,1,0.2945736434108527,2006,BMW M3,1,44500,23335,137,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
80,0,33,57,220000,1,6,10,17,12,4,9,1,0,1.0,1,0.3061224489795918,1998,BMW M3,1,9169,16117,82,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15
81,1,29,51,95300,1,7,9,4,7,2,4,1,0,1.0,1,0.1219512195121951,2002,BMW M3,1,23750,11453,57,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
82,0,29,81,196700,1,6,11,4,9,6,4,1,0,2.0,1,0.4794520547945205,1997,BMW M3,1,13000,13155,134,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
83,1,21,35,98000,1,6,8,1,6,5,5,1,0,1.0,1,0.5416666666666666,2003,BMW M3,1,25000,10721,85,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
84,1,37,53,41300,1,6,14,0,4,0,3,1,0,2.0,1,0.3333333333333333,2015,BMW M3,1,40550,11069,59,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
85,0,10,49,121100,1,6,7,2,11,4,5,1,0,3.0,1,0.3428571428571428,2002,BMW M3,1,16500,17364,122,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
86,1,16,32,79600,1,5,9,1,5,5,1,1,0,5.0,1,0.4827586206896552,2008,BMW M3,1,22175,9470,108,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
87,1,35,67,86500,1,5,13,5,9,3,4,1,0,2.0,1,0.2258064516129032,2012,BMW M3,1,34750,21129,95,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12
88,1,32,31,35500,1,7,19,4,7,5,5,1,0,2.0,1,-0.1333333333333333,2016,BMW M3,1,39280,10943,207,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13
